,0
1055,9086
1056,9548
1057,0
1058,9999
1059,9862
1060,0
1061,0
1062,9999
1063,0
1064,9672
1065,0
1066,0
1067,0
1068,0
1069,10000
1070,9999
1071,0
1072,9996
1073,0
1074,0
1075,0
1076,0
1077,9996
1078,0
1079,9434
1080,9797
1081,9694
1082,0
1083,0
1084,10000
1085,9874
1086,9848
1087,10000
1088,9642
1089,9615
1090,9333
1091,9999
1092,9778
1093,9833
1094,9899
1095,0
1096,9943
1097,0
1098,9470
1099,9719
1100,0
1101,9845
1102,0
1103,0
1104,8941
1105,0
1106,0
1107,0
1108,0
1109,0
1110,0
1111,0
1112,0
1113,9499
1114,9209
1115,9820
1116,0
1117,0
1118,0
1119,0
1120,9956
1121,0
1122,0
1123,9947
1124,9314
1125,9183
1126,9895
1127,9186
1128,0
1129,9983
1130,0
1131,9996
1132,9985
1133,9796
1134,0
1135,9500
1136,9814
1137,9245
1138,0
1139,0
1140,9976
1141,0
1142,9902
1143,8968
1144,9865
1145,0
1146,0
1147,0
1148,9735
1149,0
1150,9999
1151,9686
1152,9187
1153,9613
1154,0
1155,0
1156,9060
1157,0
1158,0
1159,0
1160,0
1161,0
1162,0
1163,0
1164,0
1165,9600
1166,8274
1167,0
1168,9133
1169,0
1170,9805
1171,9493
1172,0
1173,0
1174,0
1175,9907
1176,0
1177,9917
1178,9717
1179,0
1180,9944
1181,0
1182,0
1183,0
1184,0
1185,9835
1186,9925
1187,0
1188,9168
1189,9495
1190,9698
1191,9186
1192,0
1193,0
1194,9505
1195,0
1196,9583
1197,9647
1198,9588
1199,0
1200,0
1201,0
1202,8931
1203,0
1204,9188
1205,0
1206,0
1207,9913
1208,9367
1209,0
1210,0
1211,0
1212,9724
1213,9126
1214,9375
1215,9900
1216,0
1217,0
1218,9337
1219,9029
1220,9919
1221,0
1222,0
1223,0
1224,0
1225,0
1226,0
1227,0
1228,9623
1229,9732
1230,9855
1231,9221
1232,0
1233,0
1234,0
1235,0
1236,9949
1237,8795
1238,0
1239,0
1240,9853
1241,0
1242,9275
1243,9602
1244,0
1245,0
1246,9663
1247,0
1248,9582
1249,9961
1250,9292
1251,9404
1252,0
1253,0
1254,9986
1255,9015
1256,0
1257,9980
1258,0
1259,9012
1260,0
1261,9822
1262,9179
1263,9458
1264,0
1265,0
1266,9929
1267,0
1268,9412
1269,7966
1270,9515
1271,0
1272,0
1273,0
1274,0
1275,0
1276,0
1277,9443
1278,10000
1279,9616
1280,0
1281,0
1282,9031
1283,0
1284,8915
1285,10000
1286,9918
1287,9867
1288,9186
1289,0
1290,0
1291,9361
1292,0
1293,9607
1294,0
1295,0
1296,9145
1297,9761
1298,0
1299,0
1300,0
1301,9668
1302,9949
1303,0
1304,0
1305,0
1306,0
1307,9998
1308,9430
1309,9597
1310,0
1311,8957
1312,9684
1313,0
1314,9970
1315,0
1316,8968
1317,0
1318,8941
1319,0
1320,8816
1321,9263
1322,0
1323,9230
1324,0
1325,0
1326,9205
1327,9839
1328,0
1329,0
1330,0
1331,0
1332,9225
1333,8661
1334,9990
1335,0
1336,0
1337,0
1338,0
1339,10000
1340,10000
1341,0
1342,9711
1343,0
1344,9657
1345,0
1346,9403
1347,0
1348,0
1349,0
1350,9072
1351,0
1352,9450
1353,0
1354,0
1355,9072
1356,9140
1357,9682
1358,0
1359,8997
1360,0
1361,0
1362,0
1363,0
1364,9967
1365,8772
1366,9409
1367,0
1368,8913
1369,0
1370,9550
1371,9932
1372,0
1373,9963
1374,9149
1375,9264
1376,9338
1377,0
1378,9756
1379,0
1380,0
1381,8373
1382,9090
1383,9015
1384,0
1385,0
1386,9464
1387,0
1388,10000
1389,0
1390,0
1391,0
1392,0
1393,9843
1394,9990
1395,0
1396,9713
1397,9241
1398,0
1399,0
1400,0
1401,9391
1402,9504
1403,9820
1404,0
1405,9455
1406,0
1407,0
1408,0
1409,9995
1410,0
1411,0
1412,9988
1413,9824
1414,0
1415,0
1416,0
1417,9767
1418,9714
1419,9978
1420,0
1421,0
1422,9999
1423,9961
1424,9602
1425,0
1426,9702
1427,0
1428,0
1429,9871
1430,0
1431,8979
1432,9671
1433,9240
1434,0
1435,9629
1436,9936
1437,9413
1438,9899
1439,9279
1440,9481
1441,0
1442,9533
1443,0
1444,0
1445,0
1446,0
1447,0
1448,0
1449,0
1450,0
1451,0
1452,9414
1453,9916
1454,0
1455,0
1456,0
1457,9700
1458,0
1459,0
1460,0
1461,0
1462,9838
1463,0
1464,0
1465,0
1466,0
1467,9635
1468,0
1469,0
1470,9961
1471,9995
1472,0
1473,9568
1474,0
1475,0
1476,9932
1477,0
1478,9650
1479,0
1480,9351
1481,0
1482,9928
1483,0
1484,9983
1485,0
1486,0
1487,10000
1488,0
1489,9422
1490,0
1491,9896
1492,0
1493,0
1494,0
1495,9763
1496,9360
1497,0
1498,0
1499,9883
1500,9997
1501,10000
1502,0
1503,0
1504,0
1505,9989
1506,9840
1507,9308
1508,9610
1509,0
1510,0
1511,9848
1512,0
1513,0
1514,9851
1515,9993
1516,0
1517,10000
1518,0
1519,9756
1520,0
1521,0
1522,0
1523,0
1524,10000
1525,9910
1526,0
1527,0
1528,9792
1529,0
1530,0
1531,0
1532,8854
1533,9937
1534,0
1535,9283
1536,9758
1537,9917
1538,9993
1539,0
1540,9853
1541,0
1542,10000
1543,9980
1544,0
1545,0
1546,0
1547,9249
1548,0
1549,9946
1550,9957
1551,9922
1552,0
1553,9894
1554,9924
1555,9873
1556,0
1557,0
1558,0
1559,9986
1560,9999
1561,0
1562,0
1563,0
1564,0
1565,9867
1566,10000
1567,9892
1568,0
1569,0
1570,9992
1571,0
1572,0
1573,9846
1574,0
1575,0
1576,0
1577,0
1578,0
1579,10000
1580,0
1581,9911
1582,9928
1583,9869
1584,0
1585,10000
1586,0
1587,0
1588,0
1589,0
1590,8279
1591,0
1592,9879
1593,0
1594,9960
1595,0
1596,0
1597,9926
1598,0
1599,9963
1600,0
1601,0
1602,9570
1603,9974
1604,0
1605,9956
1606,9985
1607,9860
1608,9864
1609,0
1610,0
1611,9666
1612,9993
1613,9987
1614,0
1615,9986
1616,8938
1617,9864
1618,9999
1619,0
1620,10000
1621,9999
1622,9707
1623,10000
1624,10000
1625,9897
1626,9898
1627,9998
1628,0
1629,9975
1630,0
1631,9892
1632,0
1633,0
1634,0
1635,0
1636,0
1637,9678
1638,0
1639,0
1640,9922
1641,0
1642,8923
1643,9968
1644,0
1645,0
1646,0
1647,0
1648,9943
1649,0
1650,0
1651,0
1652,0
1653,8700
1654,0
1655,0
1656,0
1657,9440
1658,0
1659,0
1660,0
1661,9982
1662,10000
1663,0
1664,9659
1665,9396
1666,0
1667,0
1668,9939
1669,9861
1670,0
1671,0
1672,9691
1673,0
1674,9994
1675,0
1676,9292
1677,0
1678,0
1679,0
1680,0
1681,0
1682,0
1683,0
1684,9793
1685,0
1686,10000
1687,9859
1688,10000
1689,9954
1690,0
1691,9997
1692,0
1693,0
1694,9611
1695,0
1696,0
1697,9469
1698,9607
1699,0
1700,0
1701,0
1702,9782
1703,0
1704,9382
1705,9197
1706,0
1707,9933
1708,9999
1709,0
1710,9594
1711,8680
1712,9644
1713,0
1714,0
1715,0
1716,9998
1717,0
1718,8305
1719,9014
1720,9978
1721,9158
1722,9838
1723,0
1724,0
1725,0
1726,0
1727,9914
1728,0
1729,9412
1730,0
1731,9934
1732,9846
1733,9978
1734,9838
1735,0
1736,0
1737,0
1738,0
1739,9583
1740,9813
1741,0
1742,0
1743,0
1744,9763
1745,0
1746,0
1747,0
1748,0
1749,0
1750,0
1751,0
1752,9747
1753,0
1754,0
1755,0
1756,9999
1757,9600
1758,0
1759,0
1760,9999
1761,0
1762,0
1763,10000
1764,0
1765,0
1766,0
1767,9160
1768,9969
1769,9938
1770,0
1771,9957
1772,9985
1773,9951
1774,0
1775,9924
1776,0
1777,0
1778,9993
1779,9994
1780,0
1781,0
1782,0
1783,9635
1784,0
1785,9223
1786,0
1787,0
1788,9732
1789,0
1790,9918
1791,0
1792,9994
1793,9737
1794,9583
1795,9996
1796,0
1797,0
1798,0
1799,9088
1800,9774
1801,0
1802,9953
1803,0
1804,0
1805,0
1806,9987
1807,0
1808,9793
1809,0
1810,0
1811,9985
1812,8940
1813,9415
1814,0
1815,9462
1816,9904
1817,9985
1818,0
1819,0
1820,9704
1821,9996
1822,0
1823,9320
1824,9990
1825,0
1826,0
1827,9446
1828,0
1829,9914
1830,0
1831,0
1832,0
1833,0
1834,9986
1835,9650
1836,0
1837,8991
1838,9298
1839,0
1840,9800
1841,0
1842,0
1843,0
1844,9997
1845,9084
