,0
1568,10000
1569,10000
1570,8
1571,10000
1572,10000
1573,154
1574,10000
1575,10000
1576,10000
1577,10000
1578,10000
1579,0
1580,10000
1581,89
1582,72
1583,131
1584,10000
1585,0
1586,10000
1587,10000
1588,10000
1589,10000
1590,1721
1591,10000
1592,121
1593,10000
1594,40
1595,10000
1596,10000
1597,74
1598,10000
1599,37
1600,10000
1601,10000
1602,430
1603,26
1604,10000
1605,44
1606,15
1607,140
1608,136
1609,10000
1610,10000
1611,334
1612,7
1613,13
1614,10000
1615,14
1616,1062
1617,136
1618,1
1619,10000
1620,0
1621,1
1622,293
1623,0
1624,0
1625,103
1626,102
1627,2
1628,10000
1629,25
1630,10000
1631,108
1632,10000
1633,10000
1634,10000
1635,10000
1636,10000
1637,322
1638,10000
1639,10000
1640,78
1641,10000
1642,1077
1643,32
1644,10000
1645,10000
1646,10000
1647,10000
1648,57
1649,10000
1650,10000
1651,10000
1652,10000
1653,1300
1654,10000
1655,10000
1656,10000
1657,560
1658,10000
1659,10000
1660,10000
1661,18
1662,0
1663,10000
1664,341
1665,604
1666,10000
1667,10000
1668,61
1669,139
1670,10000
1671,10000
1672,309
1673,10000
1674,6
1675,10000
1676,708
1677,10000
1678,10000
1679,10000
1680,10000
1681,10000
1682,10000
1683,10000
1684,207
1685,10000
1686,0
1687,141
1688,0
1689,46
1690,10000
1691,3
1692,10000
1693,10000
1694,389
1695,10000
1696,10000
1697,531
1698,393
1699,10000
1700,10000
1701,10000
1702,218
1703,10000
1704,618
1705,803
1706,10000
1707,67
1708,1
1709,10000
1710,406
1711,1320
1712,356
1713,10000
1714,10000
1715,10000
1716,2
1717,10000
1718,1695
1719,986
1720,22
1721,842
1722,162
1723,10000
1724,10000
1725,10000
1726,10000
1727,86
1728,10000
1729,588
1730,10000
1731,66
1732,154
1733,22
1734,162
1735,10000
1736,10000
1737,10000
1738,10000
1739,417
1740,187
1741,10000
1742,10000
1743,10000
1744,237
1745,10000
1746,10000
1747,10000
1748,10000
1749,10000
1750,10000
1751,10000
1752,253
1753,10000
1754,10000
1755,10000
1756,1
1757,400
1758,10000
1759,10000
1760,1
1761,10000
1762,10000
1763,0
1764,10000
1765,10000
1766,10000
1767,840
1768,31
1769,62
1770,10000
1771,43
1772,15
1773,49
1774,10000
1775,76
1776,10000
1777,10000
1778,7
1779,6
1780,10000
1781,10000
1782,10000
1783,365
1784,10000
1785,777
1786,10000
1787,10000
1788,268
1789,10000
1790,82
1791,10000
1792,6
1793,263
1794,417
1795,4
1796,10000
1797,10000
1798,10000
1799,912
1800,226
1801,10000
1802,47
1803,10000
1804,10000
1805,10000
1806,13
1807,10000
1808,207
1809,10000
1810,10000
1811,15
1812,1060
1813,585
1814,10000
1815,538
1816,96
1817,15
1818,10000
1819,10000
1820,296
1821,4
1822,10000
1823,680
1824,10
1825,10000
1826,10000
1827,554
1828,10000
1829,86
1830,10000
1831,10000
1832,10000
1833,10000
1834,14
1835,350
1836,10000
1837,1009
1838,702
1839,10000
1840,200
1841,10000
1842,10000
1843,10000
1844,3
1845,916
1846,10000
1847,836
1848,252
1849,10000
1850,10000
1851,10000
1852,565
1853,56
1854,444
1855,10000
1856,10000
1857,340
1858,10000
1859,266
1860,315
1861,10000
1862,10000
1863,10000
1864,490
1865,10000
1866,10000
1867,10000
1868,307
1869,3
1870,653
1871,10000
1872,10000
1873,10000
1874,771
1875,480
1876,10000
1877,27
1878,476
1879,10000
1880,605
1881,10000
1882,284
1883,49
1884,0
1885,10000
1886,10000
1887,10000
1888,4
1889,23
1890,10000
1891,1014
1892,214
1893,10000
1894,10000
1895,10000
1896,60
1897,10000
1898,10000
1899,151
1900,49
1901,12
1902,231
1903,184
1904,1140
1905,10000
1906,10000
1907,10000
1908,245
1909,10000
1910,1361
1911,10000
1912,10000
1913,10000
1914,10000
1915,10000
1916,10000
1917,1
1918,857
1919,0
1920,10000
1921,10000
1922,10000
1923,10000
1924,0
1925,10000
1926,10000
1927,10000
1928,17
1929,10000
1930,0
1931,10000
1932,3
1933,10000
1934,84
1935,10000
1936,44
1937,208
1938,13
1939,10000
1940,10000
1941,10000
1942,10000
1943,10000
1944,10000
1945,10000
1946,10000
1947,1
1948,38
1949,10000
1950,21
1951,10000
1952,10000
1953,83
1954,10000
1955,12
1956,88
1957,10000
1958,498
1959,515
1960,109
1961,4
1962,0
1963,304
