timestamp,executed,status,duration,mem_mean,mem_median,mem_peak,return_code,output,tool,benchmark,dataset,model,phase
1712863815,True,success,4.03,527673548.8,618717184.0,754876416,0,/experiments/comparison/prophecy/1/BM10/ruleset.csv,prophecy,trustbench,BM,BM10,analyze
1712863819,True,success,3.22,521767936.0,601870336.0,745996288,0,/experiments/comparison/prophecy/1/GC3/ruleset.csv,prophecy,trustbench,GC,GC3,analyze
1712863822,True,success,3.42,488686531.7647059,586608640.0,753315840,0,/experiments/comparison/prophecy/1/GC5/ruleset.csv,prophecy,trustbench,GC,GC5,analyze
1712863826,True,success,3.42,493283448.4705882,592535552.0,758173696,0,/experiments/comparison/prophecy/1/GC6/ruleset.csv,prophecy,trustbench,GC,GC6,analyze
1712863829,True,success,3.22,521326080.0,602759168.0,744906752,0,/experiments/comparison/prophecy/1/GC4/ruleset.csv,prophecy,trustbench,GC,GC4,analyze
1712863833,True,success,3.42,484194906.3529412,582688768.0,738189312,0,/experiments/comparison/prophecy/1/GC9/ruleset.csv,prophecy,trustbench,GC,GC9,analyze
1712863836,True,success,3.22,519172608.0,600231936.0,742703104,0,/experiments/comparison/prophecy/1/GC1/ruleset.csv,prophecy,trustbench,GC,GC1,analyze
1712863839,True,success,3.42,491766000.9411765,589787136.0,755576832,0,/experiments/comparison/prophecy/1/GC7/ruleset.csv,prophecy,trustbench,GC,GC7,analyze
1712863843,True,success,3.42,519082947.7647059,598671360.0,728608768,0,/experiments/comparison/prophecy/1/GC2/ruleset.csv,prophecy,trustbench,GC,GC2,analyze
1712863846,True,success,3.22,521332736.0,601968640.0,747880448,0,/experiments/comparison/prophecy/1/GC8/ruleset.csv,prophecy,trustbench,GC,GC8,analyze
1712863849,True,success,3.22,495646464.0,574758912.0,720891904,0,/experiments/comparison/prophecy/1/HP4/ruleset.csv,prophecy,trustbench,HP,HP4,analyze
1712863853,True,success,3.22,526765056.0,607186944.0,763269120,0,/experiments/comparison/prophecy/1/HP3/ruleset.csv,prophecy,trustbench,HP,HP3,analyze
1712863856,True,success,3.22,521631744.0,602406912.0,746299392,0,/experiments/comparison/prophecy/1/HP2/ruleset.csv,prophecy,trustbench,HP,HP2,analyze
1712863859,True,success,3.22,521923072.0,602177536.0,747364352,0,/experiments/comparison/prophecy/1/HP1/ruleset.csv,prophecy,trustbench,HP,HP1,analyze
1712863862,True,success,3.22,514526720.0,594526208.0,738381824,0,/experiments/comparison/prophecy/1/PD2/ruleset.csv,prophecy,trustbench,PD,PD2,analyze
